variable,var_rmse,varexo_rmse,rmse_improvement_pct,var_mae,varexo_mae,mae_improvement_pct,var_r2,varexo_r2,r2_improvement
All Providers Combined_Download_Speed_Mbps,5.4674682202662135,8.998199751442936,-64.57708374214948,4.038946261082934,6.394901401923151,-58.33093555962616,-1.0797582028982555,-4.633153308201962,-3.5533951053037063
Baktelekom_Download_Speed_Mbps,7.834401178002555,31.40570269293111,-300.8692174344109,5.88197318526508,23.947093521018378,-307.12687335957594,-1.5287425967663193,-39.63591477679305,-38.10717218002673
Citynet_Download_Speed_Mbps,3.4104383417300546,20.224669214574472,-493.02257328935787,2.623593581363669,14.892410052979592,-467.63403290684016,-8.009937768456027,-315.8576824274597,-307.84774465900364
Aztelekom_Download_Speed_Mbps,9.505622297447413,34.87493023466992,-266.88739719897177,7.546225459029284,27.922481150900893,-270.01917451977016,-0.36596431201221225,-17.38674869670025,-17.020784384688035
KATV 1_Download_Speed_Mbps,5.679669338872433,35.307188482526634,-521.6416198893729,4.67098117627164,19.55964857041687,-318.7481780012076,-0.31393913563329656,-49.77564105797732,-49.46170192234402
Azeronline_Download_Speed_Mbps,13.587148730901689,37.55806439954603,-176.42344353033042,11.247652805855449,25.71649688275676,-128.63878647969054,-0.5297521551046345,-10.688823999508331,-10.159071844403696
EngiNet_Download_Speed_Mbps,10.83045362179112,22.087764315066522,-103.94126678706638,7.693792309862414,13.93646341396613,-81.1390644910111,-0.6225228580906115,-5.748403609928833,-5.125880751838222
Delta Telecom_Download_Speed_Mbps,4.21539164229112,12.588334980783845,-198.62788677784445,3.3352782404401586,9.220967521253112,-176.46771443081207,-0.733245895517916,-14.45684680031719,-13.723600904799275
Caspian Telecom_Download_Speed_Mbps,10.428231700085918,12.67211374760736,-21.517378133274068,8.24790883808989,10.431658356600407,-26.47640221756192,-4.170894555306404,-6.63558758108986,-2.464693025783456
Selnet_Download_Speed_Mbps,13.028224644830852,34.98625594311802,-168.5420070416068,10.442547339471819,27.08096781611864,-159.33296671546034,-0.35434909173524876,-8.766862680919667,-8.412513589184417
GSP_Download_Speed_Mbps,8.098636609958957,22.885204056598003,-182.5809473715105,6.591383239841045,16.468570754843114,-149.84999590526405,-1.1728199886220763,-16.350400395209054,-15.177580406586976
